chrom	locus	3D_x	3D_y	3D_z
1	YAL068W-A	77.365	61.609	15.448
1	YAL067W-A	79.279	61.218	15.878
1	YAL066W	84.872	61.110	17.813
1	YAL064W-B	86.029	61.761	18.655
1	YAL064W	88.951	67.604	23.558
1	YAL062W	89.229	72.826	25.510
1	YAL061W	89.405	72.868	25.100
1	YAL060W	89.981	72.560	23.569
1	YAL059W	90.265	72.203	22.511
1	YAL058W	90.265	72.203	22.511
1	YAL056W	90.445	71.616	21.109
1	YAL055W	90.213	70.285	18.678
1	YAL053W	89.482	68.844	16.622
1	YAL051W	89.298	67.243	14.547
1	YAL047W-A	92.215	65.222	12.150
1	YAL044W-A	94.555	64.805	11.671
1	YAL042W	96.617	65.119	11.897
1	YAL041W	97.544	65.550	12.275
1	YAL038W	101.645	70.946	15.254
1	YAL037W	102.460	73.381	15.256
1	YAL035W	102.795	74.677	15.105
1	YAL034W-A	104.027	77.829	15.293
1	YAL033W	105.293	79.884	16.038
1	YAL031W-A	106.300	81.106	16.822
1	YAL030W	107.250	82.245	17.788
1	YAL028W	108.597	85.120	21.131
1	YAL027W	108.597	86.302	22.985
1	HRA1	108.497	87.613	24.793
1	YAL019W-A	110.895	90.034	15.987
1	YAL019W	110.895	90.034	15.987
1	YAL017W	111.656	94.608	14.338
1	YAL016W	111.658	97.839	14.953
1	YAL013W	111.545	101.299	15.704
1	YAL012W	111.601	102.301	15.458
1	YAL011W	111.748	103.518	14.737
1	YAL009W	112.123	105.092	12.828
1	YAL008W	112.263	105.579	12.072
1	tP(UGG)A	112.641	107.023	9.789
1	YAL004W	112.753	107.499	9.023
1	YAL003W	112.956	108.444	7.482
1	snR18	112.908	108.208	7.868
1	YAL002W	113.089	109.145	6.320
1	YAR002W	112.019	111.153	1.773
1	YAR003W	110.189	110.666	1.158
1	YAR008W	108.469	110.236	1.412
1	tA(UGC)A	104.905	110.837	5.378
1	YAR015W	103.359	111.356	6.831
1	YAR019W-A	99.614	112.029	6.704
1	tL(CAA)A	93.858	112.778	4.172
1	YAR027W	92.166	113.061	3.584
1	YAR028W	91.313	113.214	3.314
1	YAR029W	90.024	113.453	2.952
1	YAR031W	89.594	113.532	2.852
1	YAR033W	87.866	113.844	2.561
1	YAR035W	86.129	114.149	2.446
1	YAR042W	83.946	114.519	2.547
1	YAR050W	76.603	112.962	4.184
1	YAR053W	74.380	109.199	4.938
1	YAR061W	69.897	101.883	6.395
1	YAR062W	69.685	101.786	6.440
1	YAR064W	69.053	101.735	6.552
1	YAR066W	68.633	101.899	6.607
1	YAR068W	68.423	102.041	6.629
1	YAR071W	67.382	103.345	6.682
1	YAR073W	66.254	105.501	6.669
1	YAR075W	65.794	106.389	6.664
1	YBL113W-A	66.254	105.501	6.669
2	YBL109W	107.361	129.390	102.850
2	YBL108W	108.084	128.028	101.794
2	YBL107W-A	108.211	127.943	101.643
2	tL(UAA)B1	108.470	127.897	101.364
2	YBL102W	114.188	131.605	101.001
2	YBL100W-C	116.317	129.716	101.976
2	YBL100W-B	117.194	129.084	102.442
2	YBL100W-A	117.194	129.084	102.442
2	tF(GAA)B	120.673	127.611	104.774
2	YBL099W	121.102	127.409	105.330
2	YBL098W	121.203	127.089	106.035
2	YBL097W	121.052	126.907	106.372
2	YBL095W	120.082	126.389	107.169
2	YBL092W	118.307	125.779	107.895
2	YBL090W	116.757	124.902	108.374
2	YBL089W	116.503	124.401	108.402
2	YBL085W	122.711	117.504	104.363
2	YBL081W	123.333	112.206	100.710
2	YBL079W	121.991	110.611	98.676
2	YBL077W	119.862	107.973	95.356
2	YBL073W	119.271	103.632	91.485
2	snR56	119.290	103.526	91.348
2	YBL071W-A	119.344	103.430	91.142
2	YBL069W	119.459	103.576	90.999
2	YBL068W-A	119.507	103.702	90.995
