chrom	locus	3D_x	3D_y	3D_z
1	YAL068W-A	76.408	61.804	15.232
1	YAL067W-A	78.322	61.414	15.663
1	YAL066W	84.554	60.995	17.624
1	YAL064W-B	85.757	61.569	18.432
1	YAL064W	88.909	67.249	23.307
1	YAL062W	89.153	72.769	25.670
1	YAL061W	89.505	72.853	24.850
1	YAL060W	89.858	72.664	23.922
1	YAL059W	90.185	72.330	22.863
1	YAL058W	90.332	72.068	22.160
1	YAL056W	90.455	71.450	20.760
1	YAL055W	90.289	70.499	19.024
1	YAL053W	89.370	68.596	16.295
1	YAL051W	89.239	67.452	14.813
1	YAL047W-A	91.816	65.355	12.293
1	YAL044W-A	94.185	64.824	11.701
1	YAL042W	96.934	65.243	12.003
1	YAL041W	97.837	65.735	12.440
1	YAL038W	101.800	71.332	15.294
1	YAL037W	102.343	72.955	15.296
1	YAL035W	102.920	75.097	15.078
1	YAL034W-A	103.844	77.461	15.219
1	YAL033W	105.062	79.560	15.877
1	YAL031W-A	106.036	80.812	16.604
1	YAL030W	107.449	82.522	18.050
1	YAL028W	108.628	85.363	21.485
1	YAL027W	108.628	86.072	22.597
1	HRA1	108.514	87.704	24.833
1	YAL019W-A	110.800	89.698	16.247
1	YAL019W	110.991	90.394	15.737
1	YAL017W	111.628	94.214	14.358
1	YAL016W	111.630	98.253	15.127
1	YAL013W	111.559	101.642	15.650
1	YAL012W	111.630	102.618	15.319
1	YAL011W	111.703	103.227	14.959
1	YAL009W	112.194	105.336	12.450
1	YAL008W	112.331	105.821	11.693
1	tP(UGG)A	112.583	106.784	10.171
1	YAL004W	112.807	107.736	8.639
1	YAL003W	112.908	108.208	7.868
1	snR18	112.956	108.444	7.482
1	YAL002W	113.047	108.912	6.708
1	YAR002W	111.807	111.133	1.633
1	YAR003W	110.492	110.775	1.193
1	YAR008W	108.199	110.202	1.530
1	tA(UGC)A	104.672	110.931	5.695
1	YAR015W	103.068	111.432	6.968
1	YAR019W-A	99.216	112.072	6.513
1	tL(CAA)A	94.278	112.712	4.329
1	YAR027W	91.740	113.137	3.447
1	YAR028W	90.884	113.293	3.185
1	YAR029W	89.594	113.532	2.852
1	YAR031W	89.162	113.611	2.763
1	YAR033W	88.298	113.767	2.617
1	YAR035W	86.564	114.073	2.458
1	YAR042W	84.384	114.446	2.505
1	YAR050W	76.350	112.649	4.261
1	YAR053W	74.167	108.805	5.013
1	YAR061W	70.109	102.020	6.346
1	YAR062W	69.897	101.883	6.395
1	YAR064W	69.263	101.712	6.518
1	YAR066W	68.843	101.797	6.581
1	YAR068W	68.214	102.222	6.647
1	YAR071W	67.174	103.725	6.681
1	YAR073W	66.714	104.613	6.675
1	YAR075W	66.254	105.501	6.669
2	YBL113W-A	106.366	132.803	104.653
2	YBL109W	107.477	129.061	102.656
2	YBL108W	107.959	128.153	101.952
2	YBL107W-A	108.340	127.900	101.500
2	tL(UAA)B1	108.340	127.900	101.500
2	YBL102W	113.889	131.855	100.883
2	YBL100W-C	116.612	129.493	102.128
2	YBL100W-B	117.482	128.898	102.604
2	YBL100W-A	117.482	128.898	102.604
2	tF(GAA)B	120.850	127.548	104.962
2	YBL099W	120.993	127.480	105.147
2	YBL098W	121.229	127.175	105.863
2	YBL097W	120.925	126.811	106.536
2	YBL095W	119.788	126.274	107.321
2	YBL092W	117.952	125.644	108.014
2	YBL090W	116.633	124.740	108.399
2	YBL089W	116.549	124.573	108.409
2	YBL085W	122.881	117.141	104.167
2	YBL081W	123.202	111.950	100.436
2	YBL079W	121.735	110.412	98.367
2	YBL077W	119.744	107.685	95.063
